,frequency,probability,IC
GO:0019948,3,3.0143347165943134e-12,26.52764196794392
GO:0090734,4,4.0191129554590846e-12,26.23995989549214
GO:0001891,2,2.0095564777295423e-12,26.93310707605209
GO:0071953,1,1.0047782388647711e-12,27.626254256612032
GO:0035197,4,4.0191129554590846e-12,26.23995989549214
GO:0061832,1,1.0047782388647711e-12,27.626254256612032
GO:0055037,2,2.0095564777295423e-12,26.93310707605209
GO:0042800,1,1.0047782388647711e-12,27.626254256612032
GO:0005883,1,1.0047782388647711e-12,27.626254256612032
GO:0030673,1,1.0047782388647711e-12,27.626254256612032
GO:0005777,1,1.0047782388647711e-12,27.626254256612032
GO:0001003,1,1.0047782388647711e-12,27.626254256612032
GO:0001002,1,1.0047782388647711e-12,27.626254256612032
GO:0032590,3,3.0143347165943134e-12,26.52764196794392
GO:0030425,10,1.0047782388647711e-11,25.323669163617986
GO:0032809,1,1.0047782388647711e-12,27.626254256612032
GO:0043005,148,1.4870717935198614e-10,22.629041982847916
GO:0043197,2,2.0095564777295423e-12,26.93310707605209
GO:0044297,10,1.0047782388647711e-11,25.323669163617986
GO:0044307,2,2.0095564777295423e-12,26.93310707605209
GO:0097060,10,1.0047782388647711e-11,25.323669163617986
GO:0098793,6,6.028669433188627e-12,25.834494787383978
GO:0098794,11,1.1052560627512483e-11,25.228358983813663
GO:0098978,1,1.0047782388647711e-12,27.626254256612032
GO:0003721,4,4.0191129554590846e-12,26.23995989549214
GO:0003964,48,4.8229355465509015e-11,23.75505324570414
GO:0003968,1,1.0047782388647711e-12,27.626254256612032
GO:0098680,1,1.0047782388647711e-12,27.626254256612032
GO:0002177,3,3.0143347165943134e-12,26.52764196794392
GO:0001054,9,9.04300414978294e-12,25.429029679275814
GO:0001056,10,1.0047782388647711e-11,25.323669163617986
GO:0052717,1,1.0047782388647711e-12,27.626254256612032
GO:0000049,3,3.0143347165943134e-12,26.52764196794392
GO:0003899,33,3.315768188253745e-11,24.129746695145553
GO:0019776,1,1.0047782388647711e-12,27.626254256612032
GO:0001097,1,1.0047782388647711e-12,27.626254256612032
GO:0031491,21,2.1100343016160196e-11,24.58173181888861
GO:0015275,2,2.0095564777295423e-12,26.93310707605209
GO:0004088,2,2.0095564777295423e-12,26.93310707605209
GO:0008289,12,1.2057338866377254e-11,25.14134760682403
GO:0043138,3,3.0143347165943134e-12,26.52764196794392
GO:0051011,5,5.023891194323856e-12,26.016816344177933
GO:0003887,2,2.0095564777295423e-12,26.93310707605209
GO:0004663,2,2.0095564777295423e-12,26.93310707605209
GO:0004577,1,1.0047782388647711e-12,27.626254256612032
GO:0008017,6,6.028669433188627e-12,25.834494787383978
GO:0030627,1,1.0047782388647711e-12,27.626254256612032
GO:0008121,1,1.0047782388647711e-12,27.626254256612032
GO:1990238,1,1.0047782388647711e-12,27.626254256612032
GO:0004591,1,1.0047782388647711e-12,27.626254256612032
GO:0004826,1,1.0047782388647711e-12,27.626254256612032
GO:0110165,8632537621,0.00867378594776226,4.7474499113276565
GO:0005575,995244484126,1.0,-0.0
GO:0120025,1169,1.1745857612329176e-09,20.562350295139964
GO:0043227,516593,5.190614047498687e-07,14.471243647195461
GO:0042995,9868,9.915151661117562e-09,18.429201778962785
GO:0043226,156327435,0.000157074404825547,8.758790948792441
GO:0097517,13,1.3062117105242025e-11,25.061304899150496
GO:0042641,13,1.3062117105242025e-11,25.061304899150496
GO:0043232,243618,2.447820649957578e-07,15.22289755289839
GO:0043229,3744547,3.7624393400063622e-06,12.49044305027669
GO:0043228,3351524,3.3675383822330133e-06,12.601328530884825
GO:0005622,99810923,0.00010028784343140729,9.207466072421639
GO:0030055,27,2.7129012449348823e-11,24.330417390607703
GO:0070161,163,1.637788529349577e-10,22.53250405580527
GO:0000175,3,3.0143347165943134e-12,26.52764196794392
GO:0016896,3,3.0143347165943134e-12,26.52764196794392
GO:0004527,14,1.4066895344106796e-11,24.987196926996774
GO:0004532,3,3.0143347165943134e-12,26.52764196794392
GO:0016796,3,3.0143347165943134e-12,26.52764196794392
GO:0004540,43,4.320546427118516e-11,23.86505414091847
GO:0004518,759,7.626266832983614e-10,20.994252479216403
GO:0140098,639,6.420532946345888e-10,21.166349802234496
GO:0016788,3112,3.126869879347168e-09,19.58323337131375
GO:0016787,14696,1.4766220998356677e-08,18.03092362971707
GO:0140640,10417,1.0466774914254322e-08,18.375059890627583
GO:0003824,5379056,5.404758414434981e-06,12.128230804553809
GO:0003674,20634931011,0.02073352964032863,3.876003099766883
GO:0098687,68,6.832492024280444e-11,23.406746551435926
GO:0005694,233,2.341133296554917e-10,22.17521580304633
GO:0003676,253348,2.5455855725991204e-07,15.183734939956622
GO:0097159,2595397,2.6077984268149103e-06,12.857004207218626
GO:0005488,22636721,2.274488466005318e-05,10.691170287957442
GO:0031012,328,3.2956726234764495e-10,21.83324064822789
GO:0030312,818,8.219085993913828e-10,20.919391920009286
GO:0099513,911,9.153529756058066e-10,20.811711359352074
GO:0099512,5376,5.40168781213701e-09,19.036554374409047
GO:0099081,39632,3.982137116268861e-08,17.03886210488289
GO:0099080,240341,2.4148940670699796e-07,15.236440229383158
GO:0016651,21,2.1100343016160196e-11,24.58173181888861
GO:0016491,221,2.2205599078911444e-10,22.22809155509428
GO:0022853,17,1.708123006070111e-11,24.793040912555817
GO:0015078,44,4.421024251004993e-11,23.842064622693773
GO:0016655,11,1.1052560627512483e-11,25.228358983813663
GO:0015453,17,1.708123006070111e-11,24.793040912555817
GO:0022804,126,1.2660205809696117e-10,22.789972349660555
GO:0015075,601054,6.039259795826262e-07,14.319814196881396
GO:0022890,14548,1.461751381900469e-08,18.041045450505152
GO:0015399,44,4.421024251004993e-11,23.842064622693773
GO:0015318,83259,8.365683138964199e-08,16.296542746504496
