,frequency
GO:0086008,7
GO:1902282,7
GO:0005882,6
GO:0004896,24
GO:0030027,2
GO:0030054,66
GO:0036122,1
GO:0050431,9
GO:0003872,1
GO:0042584,2
GO:0032357,5
GO:0030983,11
GO:0032139,2
GO:0032142,3
GO:0032181,2
GO:0005654,19
GO:0061628,2
GO:0005765,1
GO:0010008,1
GO:0030057,1
GO:0030867,1
GO:0044194,2
GO:0005518,4
GO:0000978,10
GO:0005783,5
GO:0001055,12
GO:0035173,1
GO:0017002,2
GO:0048185,2
GO:0000981,13
GO:0004879,2
GO:0005790,2
GO:0008094,16
GO:0140658,1
GO:0008083,3
GO:0005143,4
GO:0045519,2
GO:0005524,5
GO:0043531,3
GO:0035371,10
GO:0044354,1
GO:0000104,1
GO:0004913,1
GO:0004917,1
GO:0004912,1
GO:0004914,1
GO:0003678,2
GO:0000146,3
GO:0005802,1
GO:0016323,2
GO:0048471,8
GO:0016887,4
GO:0005024,1
GO:0015280,3
GO:0031092,1
GO:0004923,4
GO:0004924,5
GO:0019981,2
GO:0032407,2
GO:0005657,2
GO:0004596,1
GO:0016407,31
GO:0004971,1
GO:0016517,1
GO:0042019,3
GO:0042020,2
GO:0031252,26
GO:0000287,2
GO:0032137,4
GO:0032143,2
GO:0032405,2
GO:0005523,1
GO:0000793,27
GO:0070938,2
GO:0016594,1
GO:0016934,1
GO:0004357,1
GO:0005242,2
GO:0045095,5
GO:0004660,4
GO:0004662,2
GO:0031616,2
GO:0032541,1
GO:0030426,3
GO:0005770,7
GO:0001164,3
GO:0042383,1
GO:0086007,2
GO:0086057,1
GO:0030515,1
GO:0030018,2
GO:0017176,2
GO:0005576,1
GO:0030674,8
GO:0031982,68
GO:0005929,13
GO:0003924,2
GO:0032154,5
GO:0005828,2
GO:0005049,1
GO:0070883,4
GO:0004674,5
GO:0005219,1
GO:0004601,11
GO:0031720,11
GO:0003867,1
GO:0008021,2
GO:1904680,2
GO:0016361,1
GO:0004622,1
GO:0097443,1
GO:0009898,2
GO:0086056,1
GO:0004920,1
GO:0036449,8
GO:0005840,2
GO:0005923,3
GO:0045334,2
GO:0005863,1
GO:0031267,6
GO:0043565,33
GO:0019781,2
GO:0016362,1
GO:0042734,1
GO:0045211,8
GO:0070382,2
GO:0008569,2
GO:1990518,1
GO:0005776,2
GO:0030496,10
GO:0004721,2
GO:0030424,5
GO:0050508,1
GO:0004970,6
GO:0000987,12
GO:0000805,2
GO:0000795,3
GO:0004843,3
GO:0005743,2
GO:0097269,2
GO:0046934,1
GO:0000993,2
GO:0046972,3
GO:0005225,4
GO:0031430,2
GO:0001726,10
GO:0030175,1
GO:0098821,1
GO:0010494,1
GO:0008527,6
GO:0033041,4
GO:0004407,4
GO:0008324,213
GO:0033040,2
GO:0002094,1
GO:0045547,1
GO:0032437,2
GO:1990752,19
GO:1905721,1
GO:0005253,12
GO:0032432,13
GO:0097649,1
GO:0030141,6
GO:0099617,2
GO:0044291,2
GO:0036064,4
GO:0043296,3
GO:0031021,2
GO:0097546,2
GO:0005793,1
GO:0061630,10
GO:0046976,1
GO:0008408,3
GO:0004520,10
GO:0008375,4
GO:0050509,1
GO:0004659,12
GO:0015171,7
GO:0031514,1
GO:0004485,9
GO:0090560,2
GO:1990462,1
GO:0031674,2
GO:0005615,1
GO:0003713,3
GO:0140684,1
GO:0036057,1
GO:0008135,63
GO:0005250,5
GO:0010485,23
GO:0043998,1
GO:0019948,3
GO:0090734,3
GO:0001891,2
GO:0071953,1
GO:0035197,4
GO:0061832,1
GO:0055037,2
GO:0042800,1
GO:0005883,1
GO:0030673,1
GO:0005777,1
GO:0001003,1
GO:0001002,1
GO:0032590,3
GO:0030425,8
GO:0032809,1
GO:0043005,30
GO:0043197,2
GO:0044297,2
GO:0044307,2
GO:0097060,9
GO:0098793,5
GO:0098794,10
GO:0098978,1
GO:0003721,4
GO:0003964,8
GO:0003968,1
GO:0098680,1
GO:0002177,3
GO:0001054,9
GO:0001056,10
GO:0052717,1
GO:0000049,3
GO:0003899,31
GO:0019776,1
GO:0001097,1
GO:0031491,16
GO:0015275,2
GO:0004088,2
GO:0008289,8
GO:0043138,1
GO:0051011,5
GO:0003887,2
GO:0004663,2
GO:0004577,1
GO:0008017,5
GO:0030627,1
GO:0008121,1
GO:1990238,1
GO:0004591,1
GO:0004826,1
GO:0098858,3
GO:0120025,74
GO:0042995,74
GO:0110165,2811
GO:0005575,2811
GO:0044877,68
GO:0005488,525
GO:0003674,2648
GO:0016758,8
GO:0008194,5
GO:0016757,13
GO:0016740,210
GO:0003824,720
GO:0140597,22
GO:0140104,23
GO:0004888,61
GO:0038023,121
GO:0060089,121
GO:0004675,4
GO:0019199,5
GO:0004672,12
GO:0140096,140
GO:0016301,14
GO:0016773,14
GO:0016772,71
GO:0032138,5
GO:0032135,7
GO:0003676,230
GO:0097159,260
GO:0008318,8
GO:0016765,14
GO:0000217,12
GO:0008509,16
GO:0005216,219
GO:0015075,465
GO:0015267,316
GO:0022803,316
GO:0005215,962
GO:0031966,3
GO:0019866,2
GO:0031090,37
GO:0005740,3
GO:0031967,8
GO:0043229,504
GO:0043227,244
GO:0043231,115
GO:0043226,1126
GO:0005622,617
GO:0036002,1
GO:0045111,6
GO:0099513,52
GO:0099512,60
GO:0043232,344
GO:0099081,60
GO:0043228,344
GO:0099080,86
GO:0005815,13
GO:0019955,20
GO:0140110,29
GO:0070851,7
GO:0005126,11
GO:1990837,31
GO:0001067,30
GO:0098852,1
GO:0005774,1
GO:0000323,4
GO:0005773,7
GO:0098588,15
GO:0043175,2
GO:0001099,3
GO:0001098,3
GO:0070063,2
GO:0019899,9
GO:0022843,39
GO:0005244,44
GO:0015085,10
GO:0046873,45
GO:0022832,44
GO:0022836,97
GO:0022890,95
GO:0015318,99
GO:0016624,8
GO:0016903,24
GO:0016491,75
GO:0017111,6
GO:0016462,6
GO:0016818,6
GO:0016817,6
GO:0016787,128
GO:0042175,1
GO:0098827,2
GO:0012505,43
GO:0031984,3
GO:0015271,5
GO:0015079,32
GO:0098552,17
GO:0008028,1
GO:0046943,7
GO:0008514,7
GO:0005342,7
GO:0004661,4
GO:0031012,2
GO:0030312,2
GO:0090079,63
GO:0045182,63
GO:0034062,32
GO:0097747,32
GO:0140098,79
GO:0016779,43
GO:0140640,118
GO:0140375,24
GO:0061673,1
GO:0000235,1
GO:0005818,1
GO:0070013,34
GO:0043233,34
GO:0031974,34
GO:0000803,2
GO:0005694,107
GO:0019956,5
GO:0097708,58
GO:0120015,5
GO:0120013,9
GO:0005319,13
GO:0031490,16
GO:0003682,32
GO:0004714,1
GO:0004713,1
GO:0004576,3
GO:0031545,1
GO:0019798,1
GO:0031543,2
GO:0016706,3
GO:0051213,3
GO:0016705,3
GO:0098809,3
GO:0016662,3
GO:0016661,6
GO:0097447,8
GO:0036477,9
GO:0043679,1
GO:0044306,1
GO:0150034,4
GO:0061733,30
GO:0140993,38
GO:0034212,31
GO:0008080,31
GO:0016410,31
GO:0016747,78
GO:0016746,99
GO:0048018,8
GO:0030546,8
GO:0140677,24
GO:0030545,8
GO:0098772,100
GO:0140223,29
GO:0004527,9
GO:0004518,93
GO:0016788,97
GO:1901338,1
GO:0043169,7
GO:0043167,16
GO:0036094,49
GO:0004519,44
GO:0004536,10
GO:0140097,37
GO:0016889,7
GO:0016894,7
GO:0004812,1
GO:0140101,16
GO:0016875,1
GO:0016874,47
GO:0034061,10
GO:0099094,11
GO:0015276,37
GO:0022834,51
GO:0005237,1
GO:0099095,4
GO:0016933,1
GO:0015108,4
GO:0005231,6
GO:0005230,21
GO:0015103,4
GO:0099086,3
GO:0000794,3
GO:0061659,11
GO:0019787,21
GO:0016755,21
GO:0005791,1
GO:0032559,8
GO:0043168,9
GO:0032555,8
GO:0030554,8
GO:0017076,16
GO:0032553,8
GO:0000166,24
GO:0097367,13
GO:1901363,29
GO:1901265,29
GO:0030135,8
GO:0098576,3
GO:0035091,3
GO:0051861,3
GO:0005543,5
GO:0035639,5
GO:0030133,2
GO:0099503,8
GO:0032982,1
GO:0036379,1
GO:0030017,5
GO:0030016,6
GO:0043292,6
GO:0015631,5
GO:0008092,22
GO:0098960,11
GO:0030594,34
GO:0016881,1
GO:0016879,5
GO:0004386,2
GO:0140657,33
GO:0022853,17
GO:0015078,44
GO:0016655,11
GO:0015453,17
GO:0016651,21
GO:0022804,34
GO:0015399,17
GO:0036464,1
GO:0035770,1
GO:0016679,1
GO:0032356,5
GO:0022824,14
GO:0022835,14
GO:0050664,2
GO:0042583,2
GO:0030667,3
GO:0030659,10
GO:0012506,10
GO:0048763,1
GO:0015278,1
GO:0005217,1
GO:0099604,1
GO:0098590,45
GO:0045177,2
GO:0044298,1
GO:0016627,1
GO:0070161,41
GO:0016891,13
GO:0004549,13
GO:0016893,13
GO:0004521,14
GO:0004540,30
GO:0008483,1
GO:0016769,1
GO:0098562,2
GO:0097733,2
GO:0097731,2
GO:0097730,2
GO:0005520,3
GO:0004930,2
GO:0034603,5
GO:0016620,9
GO:0004738,7
GO:0008047,16
GO:0030695,49
GO:0030234,68
GO:0060589,49
GO:0005272,3
GO:0015081,3
GO:0032589,4
GO:0044304,1
GO:0031253,14
GO:0031256,14
GO:0001091,1
GO:0140296,1
GO:0008134,1
GO:0005879,1
GO:0097545,1
GO:0097014,2
GO:0032838,2
GO:0099568,2
GO:0003712,3
GO:0005539,2
GO:0008233,13
GO:0097517,13
GO:0042641,13
GO:0000992,2
GO:0001016,2
GO:0016835,1
GO:0016829,1
GO:0061980,4
GO:0019901,1
GO:0019900,1
GO:0031968,1
GO:0019867,1
GO:0030055,27
GO:0032404,4
GO:0071782,1
GO:0004197,1
GO:0004175,3
GO:0008234,4
GO:0098791,1
GO:0051020,6
GO:0016421,9
GO:0016885,9
GO:0052742,1
GO:0001727,1
GO:0008251,1
GO:0004000,1
GO:0016814,1
GO:0019239,1
GO:0016810,6
GO:0015252,27
GO:0015020,1
GO:0070160,3
GO:0003774,5
GO:0044352,1
GO:0044853,11
GO:0030427,3
GO:0009925,2
GO:0045178,2
GO:0019207,3
GO:0016811,4
GO:0033558,4
GO:0019213,4
GO:0008641,5
GO:0016877,5
GO:0050840,1
GO:0080084,1
GO:0000182,1
GO:0003777,2
GO:0016791,2
GO:0042578,2
GO:0001163,3
GO:0032454,1
GO:0141052,1
GO:0032452,1
GO:0140457,1
GO:0032451,1
GO:0120014,4
GO:0005548,4
GO:0016884,4
GO:0031672,2
GO:0044309,2
GO:0051233,1
GO:0043021,8
GO:0016279,2
GO:0140938,2
GO:0042054,2
GO:0016278,2
GO:0008276,4
GO:0008170,2
GO:0008757,2
GO:0008168,8
GO:0016741,8
GO:0016209,11
GO:0016684,11
GO:0030863,2
GO:0008066,6
GO:0022884,6
GO:0140318,6
GO:0031091,1
GO:0016675,5
GO:0140135,2
GO:0008381,2
GO:0016454,8
GO:0016409,8
GO:0016408,8
GO:0098687,68
GO:0001217,3
GO:0042162,2
GO:0008443,1
GO:0019200,1
GO:0000175,3
GO:0016896,3
GO:0016796,3
GO:0004532,3
GO:0098531,2
GO:0032153,5
GO:0042579,1
GO:1904315,5
GO:0099529,5
GO:0016783,4
GO:0016782,4
GO:0140142,1
GO:0001216,8
GO:0008236,2
GO:0017171,2
GO:0046872,2
GO:0000779,24
GO:0000775,24
GO:0016597,1
GO:0031406,1
GO:0043177,1
GO:0036056,1
GO:0010484,6
GO:0030660,3
GO:0030662,3
GO:0030137,3
GO:0005798,6
GO:0016234,1
GO:0052689,1
GO:0004620,1
GO:0016298,1
GO:0035064,2
GO:0140034,2
GO:0140030,2
GO:0140312,5
GO:0050997,2
GO:0101005,3
GO:0019783,3
