,probability
GO:0035869,0.000711490572749911
GO:0001725,0.004624688722874422
GO:0005925,0.0096051227321238
GO:0004535,0.0011329305135951663
GO:0005737,0.039843472073995016
GO:0000781,0.015652792600498042
GO:0003690,0.01661631419939577
GO:0062023,0.0003557452863749555
GO:0005886,0.0288153681963714
GO:0000922,0.0021344717182497333
GO:0005874,0.008893632159373888
GO:0005876,0.0010672358591248667
GO:0003954,0.0030211480362537764
GO:0008137,0.004154078549848943
GO:0001046,0.0011329305135951663
GO:0016251,0.01095166163141994
GO:0000977,0.0037764350453172208
GO:0001228,0.0030211480362537764
GO:0003743,0.02379154078549849
GO:0005245,0.0026435045317220545
GO:0008331,0.0018882175226586104
GO:0034604,0.0018882175226586104
GO:0015630,0.02063322660974742
GO:0097431,0.001422981145499822
GO:1990023,0.0003557452863749555
GO:0072686,0.0021344717182497333
GO:0099073,0.000711490572749911
GO:0005856,0.060832443970117396
GO:0030864,0.000711490572749911
GO:0005794,0.0010672358591248667
GO:0004842,0.0037764350453172208
GO:0098592,0.000711490572749911
GO:0030136,0.000711490572749911
GO:0015185,0.00037764350453172205
GO:0016605,0.0064034151547491995
GO:0005096,0.004909365558912387
GO:0005634,0.010672358591248666
GO:0005829,0.0017787264318747777
GO:0045202,0.008893632159373888
GO:0005604,0.0003557452863749555
GO:0005813,0.000711490572749911
GO:0005912,0.0010672358591248667
GO:0051015,0.006042296072507553
GO:0004758,0.0030211480362537764
GO:0000400,0.004531722054380665
GO:0005881,0.000711490572749911
GO:0005730,0.001422981145499822
GO:0005635,0.000711490572749911
GO:0050421,0.0011329305135951663
GO:0003923,0.00037764350453172205
GO:0034235,0.0011329305135951663
GO:0032977,0.008308157099697885
GO:0008821,0.0026435045317220545
GO:0005085,0.013595166163141994
GO:0060090,0.0030211480362537764
GO:0005739,0.0032017075773745998
GO:0005759,0.0021344717182497333
GO:0015629,0.017431519032372823
GO:1990050,0.0015105740181268882
GO:0030663,0.0010672358591248667
GO:0004679,0.00037764350453172205
GO:0032588,0.0003557452863749555
GO:0003723,0.004909365558912387
GO:0034511,0.00037764350453172205
GO:0043596,0.000711490572749911
GO:0042393,0.0007552870090634441
GO:0005262,0.0037764350453172208
GO:0004972,0.0018882175226586104
GO:0005811,0.0021344717182497333
GO:0000776,0.008537886872998933
GO:0005261,0.04682779456193353
GO:0005267,0.012084592145015106
GO:0015272,0.0007552870090634441
GO:0022857,0.3561178247734139
