,frequency
GO:0005840,2
GO:0005923,3
GO:0045334,2
GO:0005863,1
GO:0031267,6
GO:0043565,7
GO:0019781,2
GO:0016362,1
GO:0042734,1
GO:0045211,8
GO:0070382,1
GO:0008569,2
GO:1990518,1
GO:0005776,2
GO:0030496,10
GO:0004721,2
GO:0030424,1
GO:0050508,1
GO:0004970,2
GO:0000987,2
GO:0000805,2
GO:0000795,3
GO:0004843,3
GO:0005743,2
GO:0097269,2
GO:0046934,1
GO:0000993,2
GO:0046972,3
GO:0005225,4
GO:0031430,2
GO:0001726,1
GO:0030175,1
GO:0098821,1
GO:0010494,1
GO:0008527,2
GO:0033041,4
GO:0004407,4
GO:0008324,2
GO:0033040,2
GO:0002094,1
GO:0045547,1
GO:0032437,2
GO:1990752,1
GO:1905721,1
GO:0005253,2
GO:0032432,1
GO:0097649,1
GO:0030141,1
GO:0099617,2
GO:0044291,2
GO:0036064,4
GO:0043296,1
GO:0031021,2
GO:0097546,2
GO:0005793,1
GO:0061630,10
GO:0046976,1
GO:0008408,1
GO:0004520,1
GO:0008375,1
GO:0050509,1
GO:0004659,1
GO:0015171,1
GO:0031514,1
GO:0004485,9
GO:0090560,2
GO:1990462,1
GO:0031674,1
GO:0005615,1
GO:0003713,3
GO:0140684,1
GO:0036057,1
GO:0008135,1
GO:0005250,5
GO:0010485,2
GO:0043998,1
GO:0019948,3
GO:0090734,1
GO:0001891,2
GO:0071953,1
GO:0035197,4
GO:0061832,1
GO:0055037,2
GO:0042800,1
GO:0005883,1
GO:0030673,1
GO:0005777,1
GO:0001003,1
GO:0001002,1
GO:0032590,3
GO:0030425,2
GO:0032809,1
GO:0043005,1
GO:0043197,2
GO:0044297,2
GO:0044307,2
GO:0097060,1
GO:0098793,1
GO:0098794,1
GO:0098978,1
GO:0003721,4
GO:0003964,2
GO:0003968,1
GO:0098680,1
GO:0002177,3
GO:0001054,9
GO:0001056,10
GO:0052717,1
GO:0000049,3
GO:0003899,2
GO:0019776,1
GO:0001097,1
GO:0031491,5
GO:0015275,2
GO:0004088,2
GO:0008289,1
GO:0043138,2
GO:0051011,5
GO:0003887,2
GO:0004663,2
GO:0004577,1
GO:0008017,1
GO:0030627,1
GO:0008121,1
GO:1990238,1
GO:0004591,1
GO:0004826,1
